Rk,Uni,Name,Unnamed: 3,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,43,Lance McCullers Jr.\redirect.fcgi?player=1&mlb_ID=621121,us US,Pitcher,*,NAN,30.374106078840278,L,R,"6' 1""",205,1993-10-02,2012
2,35,Justin Verlander\redirect.fcgi?player=1&mlb_ID=434378,us US,Pitcher,*,NAN,40.99602388705946,R,R,"6' 5""",225,1983-02-20,2005
3,59,Framber Valdez\redirect.fcgi?player=1&mlb_ID=664285,do DO,Pitcher,*,NAN,30.242599229525208,L,L,"5' 11""",170,1993-11-19,2015
4,65,Jose Urquidy\redirect.fcgi?player=1&mlb_ID=664353,mx MX,Pitcher,*,NAN,28.796023887059455,R,R,"6' 0""",180,1995-05-01,2015
5,62,Blake Taylor\redirect.fcgi?player=1&mlb_ID=642130,us US,Pitcher,*,NAN,28.50013347610055,L,L,"6' 2""",220,1995-08-17,2013
6,67,Cy Sneed\redirect.fcgi?player=1&mlb_ID=605482,us US,Pitcher,*,NAN,31.376845804867674,R,R,"6' 4""",215,1992-10-01,2013
7,38,Joe Smith\redirect.fcgi?player=1&mlb_ID=501925,us US,Pitcher,*,NAN,39.91109238021014,R,R,"6' 2""",205,1984-03-22,2006
8,92,Nivaldo Rodriguez\redirect.fcgi?player=1&mlb_ID=670550,ve VE,Pitcher,*,NAN,26.834380051443016,R,R,"6' 1""",170,1997-04-16,2016
9,51,Austin Pruitt\redirect.fcgi?player=1&mlb_ID=643493,us US,Pitcher,*,NAN,34.464517037744386,R,R,"5' 10""",185,1989-08-31,2013
10,55,Ryan Pressly\redirect.fcgi?player=1&mlb_ID=519151,us US,Pitcher,*,NAN,35.174106078840275,R,R,"6' 3""",210,1988-12-15,2008
11,52,Cionel Perez\redirect.fcgi?player=1&mlb_ID=672335,cu CU,Pitcher,*,NAN,27.82068142130603,L,L,"5' 11""",170,1996-04-21,2013
12,41,Brad Peacock\redirect.fcgi?player=1&mlb_ID=502748,us US,Pitcher,*,NAN,36.04259922952521,R,R,"6' 1""",210,1988-02-02,2007
13,91,Enoli Paredes\redirect.fcgi?player=1&mlb_ID=660600,do DO,Pitcher,*,NAN,28.385064982949864,R,R,"5' 11""",168,1995-09-28,2016
14,54,Roberto Osuna\redirect.fcgi?player=1&mlb_ID=532077,mx MX,Pitcher,*,NAN,29.023421147333426,R,R,"6' 2""",215,1995-02-07,2011
15,66,Bryan Abreu\redirect.fcgi?player=1&mlb_ID=650556,do DO,Pitcher,*,NAN,26.81794169527863,R,R,"6' 1""",204,1997-04-22,2014
16,61,Rogelio Armenteros\redirect.fcgi?player=1&mlb_ID=660494,cu CU,Pitcher,*,NAN,29.631640325415617,R,R,"6' 1""",215,1994-06-30,2011
17,39,Josh James\redirect.fcgi?player=1&mlb_ID=657624,us US,Pitcher,*,NAN,30.943969092538907,R,R,"6' 3""",206,1993-03-08,2014
18,21,Zack Greinke\redirect.fcgi?player=1&mlb_ID=425844,us US,Pitcher,*,NAN,40.33027046240193,R,R,"6' 2""",200,1983-10-21,2002
19,64,Kent Emanuel\redirect.fcgi?player=1&mlb_ID=592288,us US,Pitcher,*,NAN,31.702873202127947,L,L,"6' 4""",212,1992-06-04,2013
20,29,Joe Biagini\redirect.fcgi?player=1&mlb_ID=607352,us US,Pitcher,*,NAN,33.722051284319726,R,R,"6' 5""",235,1990-05-29,2012
21,47,Chris Devenski\redirect.fcgi?player=1&mlb_ID=606965,us US,Pitcher,*,NAN,33.26177731171699,R,R,"6' 3""",210,1990-11-13,2011
22,73,Cristian Javier\redirect.fcgi?player=1&mlb_ID=664299,do DO,Pitcher,*,NAN,26.891914298018357,R,R,"6' 1""",204,1997-03-26,2015
23,1,Carlos Correa\redirect.fcgi?player=1&mlb_ID=621043,pr PR,Position,*,NAN,29.40150333911425,R,R,"6' 4""",215,1994-09-22,2012
24,27,Jose Altuve\redirect.fcgi?player=1&mlb_ID=514888,ve VE,Position,*,NAN,33.78506498294986,R,R,"5' 6""",165,1990-05-06,2007
25,44,Yordan Alvarez\redirect.fcgi?player=1&mlb_ID=670541,cu CU,Position,*,NAN,26.637119777470414,L,R,"6' 5""",225,1997-06-27,2013
26,30,Kyle Tucker\redirect.fcgi?player=1&mlb_ID=663656,us US,Position,*,NAN,27.078215667881373,L,R,"6' 4""",190,1997-01-17,2015
27,31,Abraham Toro\redirect.fcgi?player=1&mlb_ID=647351,ca CA,Position,*,NAN,27.154927996648496,S,R,"6' 1""",190,1996-12-20,2016
28,11,Garrett Stubbs\redirect.fcgi?player=1&mlb_ID=596117,us US,Position,*,NAN,30.727530736374522,L,R,"5' 10""",175,1993-05-26,2013
29,26,Myles Straw\redirect.fcgi?player=1&mlb_ID=664702,us US,Position,*,NAN,29.333010188429316,R,R,"5' 10""",180,1994-10-17,2015
30,4,George Springer\redirect.fcgi?player=1&mlb_ID=543807,us US,Position,*,NAN,34.412462243223835,R,R,"6' 3""",215,1989-09-19,2011
31,23,Michael Brantley\redirect.fcgi?player=1&mlb_ID=488726,us US,Position,*,NAN,36.76314717473069,L,L,"6' 2""",200,1987-05-15,2005
32,2,Alex Bregman\redirect.fcgi?player=1&mlb_ID=608324,us US,Position,*,NAN,29.883695119936167,R,R,"6' 0""",180,1994-03-30,2013
33,22,Josh Reddick\redirect.fcgi?player=1&mlb_ID=502210,us US,Position,*,NAN,36.99602388705946,L,R,"6' 2""",195,1987-02-19,2007
34,16,Aledmys Diaz\redirect.fcgi?player=1&mlb_ID=649557,cu CU,Position,*,NAN,33.5467088185663,R,R,"6' 1""",195,1990-08-01,2007
35,13,Dustin Garneau\redirect.fcgi?player=1&mlb_ID=572863,us US,Position,*,NAN,36.51657183226494,R,R,"6' 2""",205,1987-08-13,2009
36,10,Yuli Gurriel\redirect.fcgi?player=1&mlb_ID=493329,cu CU,Position,*,NAN,39.69465402404576,R,R,"6' 0""",190,1984-06-09,2001
37,9,Jack Mayfield\redirect.fcgi?player=1&mlb_ID=608686,us US,Position,*,NAN,33.38232525692247,R,R,"5' 11""",190,1990-09-30,2013
38,15,Martin Maldonado\redirect.fcgi?player=1&mlb_ID=455117,pr PR,Position,*,NAN,37.508352654182744,R,R,"6' 0""",230,1986-08-16,2004
39,79,Taylor Jones\redirect.fcgi?player=1&mlb_ID=622100,us US,Position,*,NAN,30.196023887059454,R,R,"6' 7""",225,1993-12-06,2013
